meta,Genus,Species,Isolate N,Taxon,PC1,PC2,PC3,PC4,PC5
Psyura25BHI18BC13,Psy,ura,25,Psy ura,0.22132659297609,5.967417770424854,-5.434806784812561,1.1481283323734586,3.348953716610378
Psyura25BHI18BC21,Psy,ura,25,Psy ura,8.361547095439876,10.687711849371388,-5.862963545075387,-13.669244144599332,-0.027453106848002968
Psyura25BHI18BC22,Psy,ura,25,Psy ura,8.324776913430979,10.046342917010788,-5.9615988383817236,-14.156112387407742,0.007582197135416694
Psyura25BHI18BC23,Psy,ura,25,Psy ura,9.27709987933022,5.4567559125645255,-6.0380371812047935,-15.343364311878565,0.7409325283884208
Psyura25BHI18BC31,Psy,ura,25,Psy ura,-7.4331893083530405,-15.495090671555042,-11.794569534077834,7.927486244156348,1.241646977761918
Psyura25BHI18BC32,Psy,ura,25,Psy ura,-9.130346734757952,-14.470612985122283,-11.17492262820364,7.9922045693707675,1.1314305355888874
Psyura25BHI18BC33,Psy,ura,25,Psy ura,-13.395245734304345,-12.864699538712173,-10.571812417463297,8.557086976721665,1.0188683621069556
Psyura24BHI18BC11,Psy,ura,24,Psy ura,1.7750341844816488,6.148871940214453,-4.839336990304702,1.4048894932578322,2.802350459459582
Psyura24BHI18BC12,Psy,ura,24,Psy ura,1.259815859788711,6.279552289301219,-5.2328649588077925,1.3223761218221037,2.8726469689834797
Psyura24BHI18BC13,Psy,ura,24,Psy ura,1.4149463235144315,6.113426805809642,-4.930110328397076,1.3274000953967449,2.789467173793659
Psyura24BHI18BC31,Psy,ura,24,Psy ura,3.798926665009486,15.126756247496134,-7.409433480415479,6.324141558631852,-1.2376322023907187
Psyura24BHI18BC32,Psy,ura,24,Psy ura,3.467837504385835,8.762374996734476,-0.9935281025679614,4.343345351121643,2.9246155110479193
Psyura24BHI18BC33,Psy,ura,24,Psy ura,3.883839652204771,10.435268594254062,-3.4717080240023472,7.292886719826781,-0.2043973815286397
Psyura24BHI18BC21,Psy,ura,24,Psy ura,5.35125554354967,15.327951140738959,-12.12723514372311,-1.3698856538731203,-4.5648364655515135
Psyura24BHI18BC22,Psy,ura,24,Psy ura,5.908899549762051,13.7442715572043,-11.556476533844025,-4.883221087101282,-3.4961633407248702
Psyura24BHI18BC23,Psy,ura,24,Psy ura,3.6361301849844105,14.301287947907563,-11.39332060496151,4.730019424768315,-5.119210675197842
Rhoyun03BHI18BC11,Rho,yun,3,Rho yun,2.4323273552801,2.4844528352538817,-1.0656523543328107,0.9737772957880246,1.8877124248907002
Rhoyun03BHI18BC12,Rho,yun,3,Rho yun,2.248845076980623,2.5077144444366835,-0.9754700489526245,0.9304665115948614,1.8977946687204956
Rhoyun03BHI18BC13,Rho,yun,3,Rho yun,2.562915063919447,2.4098631975179883,-1.0830911864922472,0.8778579079983428,1.6940738253941152
Rhoyun03BHI18BC21,Rho,yun,3,Rho yun,4.820730973495542,5.202199273226111,2.398327398721528,3.9498496714194555,2.6917334044996735
Rhoyun03BHI18BC22,Rho,yun,3,Rho yun,2.218407954266922,2.026807653841533,1.6874721736300906,1.065511939384667,1.9203439444821095
